Address	Length	Type	String
LOAD:0000000000000244	00000008	C	Android
LOAD:00000000000023D1	0000000F	C	__cxa_finalize
LOAD:00000000000023E0	0000000D	C	__cxa_atexit
LOAD:00000000000023ED	00000007	C	memcpy
LOAD:00000000000023F4	0000000D	C	__memcpy_chk
LOAD:0000000000002401	00000007	C	memset
LOAD:0000000000002408	00000007	C	sscanf
LOAD:000000000000240F	00000007	C	strlen
LOAD:000000000000241B	00000007	C	getpid
LOAD:000000000000242C	00000007	C	malloc
LOAD:0000000000002433	00000007	C	calloc
LOAD:000000000000243A	0000000D	C	__strchr_chk
LOAD:0000000000002447	0000000B	C	AnoSDKInit
LOAD:0000000000002452	0000000D	C	AnoSDKInitEx
LOAD:000000000000245F	00000012	C	AnoSDKSetUserInfo
LOAD:0000000000002471	0000001D	C	AnoSDKSetUserInfoWithLicense
LOAD:000000000000248E	0000000E	C	AnoSDKOnPause
LOAD:000000000000249C	0000000F	C	AnoSDKOnResume
LOAD:00000000000024AB	00000014	C	AnoSDKGetReportData
LOAD:00000000000024BF	00000014	C	AnoSDKDelReportData
LOAD:00000000000024D3	00000011	C	AnoSDKOnRecvData
LOAD:00000000000024E4	0000000F	C	AnoSDKIoctlOld
LOAD:00000000000024F3	0000000C	C	AnoSDKIoctl
LOAD:00000000000024FF	0000000B	C	AnoSDKFree
LOAD:000000000000250A	00000015	C	AnoSDKGetReportData2
LOAD:000000000000251F	00000015	C	AnoSDKGetReportData3
LOAD:0000000000002534	00000015	C	AnoSDKDelReportData3
LOAD:0000000000002549	00000015	C	AnoSDKGetReportData4
LOAD:000000000000255E	00000015	C	AnoSDKDelReportData4
LOAD:0000000000002573	00000016	C	AnoSDKOnRecvSignature
LOAD:0000000000002589	00000019	C	AnoSDKRegistInfoListener
LOAD:00000000000025A2	00000010	C	AnoSDKForExport
LOAD:00000000000025B2	0000000B	C	JNI_OnLoad
LOAD:00000000000025BD	0000000C	C	getpagesize
LOAD:00000000000025C9	00000006	C	close
LOAD:00000000000025CF	0000000A	C	nanosleep
LOAD:00000000000025D9	0000000D	C	gettimeofday
LOAD:00000000000025E6	0000000D	C	pthread_once
LOAD:00000000000025F3	00000008	C	memmove
LOAD:00000000000025FB	00000006	C	fopen
LOAD:0000000000002606	00000006	C	fread
LOAD:000000000000260C	00000007	C	strcmp
LOAD:0000000000002613	00000007	C	ferror
LOAD:000000000000261A	00000007	C	fclose
LOAD:0000000000002626	0000000D	C	__FD_SET_chk
LOAD:0000000000002633	0000000F	C	__FD_ISSET_chk
LOAD:0000000000002642	00000008	C	__errno
LOAD:000000000000264A	00000007	C	strchr
LOAD:0000000000002651	00000006	C	sleep
LOAD:0000000000002657	00000007	C	gettid
LOAD:000000000000265E	00000010	C	__vsnprintf_chk
LOAD:000000000000266E	0000000D	C	__memset_chk
LOAD:000000000000267B	0000000A	C	localtime
LOAD:0000000000002685	00000007	C	unlink
LOAD:000000000000268C	00000009	C	strtok_r
LOAD:0000000000002695	00000006	C	srand
LOAD:00000000000026A0	00000007	C	dlopen
LOAD:00000000000026A7	00000006	C	dlsym
LOAD:00000000000026AD	00000009	C	__open_2
LOAD:00000000000026B6	00000006	C	write
LOAD:00000000000026BC	0000000A	C	vsnprintf
LOAD:00000000000026C6	00000007	C	socket
LOAD:00000000000026CD	0000000B	C	setsockopt
LOAD:00000000000026DD	00000009	C	recvfrom
LOAD:00000000000026E6	0000000A	C	inet_ntoa
LOAD:00000000000026F0	00000006	C	popen
LOAD:00000000000026F6	00000007	C	pclose
LOAD:00000000000026FD	00000008	C	recvmsg
LOAD:0000000000002705	0000000A	C	inet_ntop
LOAD:000000000000270F	00000006	C	prctl
LOAD:0000000000002715	00000009	C	basename
LOAD:000000000000271E	00000007	C	memcmp
LOAD:0000000000002725	0000000E	C	clock_gettime
LOAD:0000000000002733	00000008	C	syscall
LOAD:000000000000273B	00000007	C	random
LOAD:000000000000274C	00000006	C	fgets
LOAD:0000000000002752	00000006	C	fseek
LOAD:0000000000002758	00000008	C	readdir
LOAD:0000000000002760	00000007	C	access
LOAD:000000000000276C	00000006	C	fstat
LOAD:0000000000002772	00000007	C	getenv
LOAD:0000000000002779	00000007	C	select
LOAD:0000000000002780	00000008	C	connect
LOAD:0000000000002792	00000008	C	opendir
LOAD:000000000000279A	00000007	C	ptrace
LOAD:00000000000027A1	00000006	C	execl
LOAD:00000000000027A7	00000007	C	fdopen
LOAD:00000000000027AE	00000008	C	dlclose
LOAD:00000000000027B6	0000000F	C	pthread_create
LOAD:00000000000027CF	00000008	C	waitpid
LOAD:00000000000027D7	00000006	C	_exit
LOAD:00000000000027DD	00000009	C	closedir
LOAD:00000000000027E6	00000007	C	signal
LOAD:00000000000027ED	0000000C	C	sigemptyset
LOAD:00000000000027F9	0000000A	C	sigaddset
LOAD:0000000000002803	0000000A	C	sigaction
LOAD:000000000000280D	00000007	C	listen
LOAD:0000000000002814	00000007	C	accept
LOAD:000000000000281B	00000007	C	getuid
LOAD:0000000000002822	0000000E	C	__strlcpy_chk
LOAD:0000000000002830	00000008	C	getppid
LOAD:000000000000283D	00000007	C	dladdr
LOAD:0000000000002844	00000006	C	atoll
LOAD:000000000000284A	00000007	C	getcwd
LOAD:0000000000002851	00000008	C	fstatat
LOAD:0000000000002859	00000008	C	symlink
LOAD:0000000000002861	00000008	C	strlcpy
LOAD:0000000000002869	0000000B	C	__openat_2
LOAD:0000000000002874	00000006	C	lseek
LOAD:000000000000287A	00000008	C	strcspn
LOAD:0000000000002882	00000009	C	readlink
LOAD:000000000000288B	00000007	C	statfs
LOAD:0000000000002892	0000000E	C	__strrchr_chk
LOAD:00000000000028A0	00000009	C	strerror
LOAD:00000000000028A9	00000016	C	__system_property_get
LOAD:00000000000028BF	00000008	C	realloc
LOAD:00000000000028C7	00000006	C	rmdir
LOAD:00000000000028CD	00000006	C	chmod
LOAD:00000000000028D3	00000007	C	strspn
LOAD:00000000000028DA	00000006	C	ioctl
LOAD:00000000000028E0	0000000D	C	__strlen_chk
LOAD:00000000000028ED	00000006	C	mkdir
LOAD:00000000000028F3	00000006	C	uname
LOAD:00000000000028F9	00000008	C	sysconf
LOAD:0000000000002901	00000006	C	abort
LOAD:0000000000002907	00000007	C	munmap
LOAD:0000000000002913	00000008	C	sendmsg
LOAD:000000000000291B	00000013	C	pthread_mutex_init
LOAD:000000000000292E	00000016	C	pthread_mutex_destroy
LOAD:0000000000002944	00000013	C	pthread_mutex_lock
LOAD:0000000000002957	00000015	C	pthread_mutex_unlock
LOAD:000000000000296C	00000007	C	fwrite
LOAD:0000000000002973	00000008	C	fprintf
LOAD:000000000000297B	00000006	C	fputc
LOAD:0000000000002981	00000006	C	ftell
LOAD:0000000000002987	00000006	C	fputs
LOAD:000000000000298D	00000007	C	mktime
LOAD:0000000000002994	00000008	C	strncpy
LOAD:000000000000299C	00000007	C	strstr
LOAD:00000000000029A3	0000000F	C	__vsprintf_chk
LOAD:00000000000029B2	00000007	C	gmtime
LOAD:00000000000029B9	00000007	C	rename
LOAD:00000000000029C9	00000007	C	fflush
LOAD:00000000000029DA	0000000B	C	__read_chk
LOAD:00000000000029E5	00000007	C	usleep
LOAD:00000000000029EC	00000007	C	sendto
LOAD:00000000000029F3	0000000D	C	inotify_init
LOAD:0000000000002A00	00000012	C	inotify_add_watch
LOAD:0000000000002A12	00000009	C	mprotect
LOAD:0000000000002A1B	00000007	C	fileno
LOAD:0000000000002A22	00000008	C	madvise
LOAD:0000000000002A2A	00000008	C	mincore
LOAD:0000000000002A32	00000009	C	sem_init
LOAD:0000000000002A3B	00000009	C	sem_wait
LOAD:0000000000002A44	00000009	C	sem_post
LOAD:0000000000002A4D	00000017	C	pthread_mutexattr_init
LOAD:0000000000002A64	0000001A	C	pthread_mutexattr_settype
LOAD:0000000000002A7E	0000001A	C	pthread_mutexattr_destroy
LOAD:0000000000002A98	00000012	C	pthread_attr_init
LOAD:0000000000002AAA	0000001A	C	pthread_attr_setstacksize
LOAD:0000000000002AC4	0000001C	C	pthread_attr_setdetachstate
LOAD:0000000000002AE0	00000015	C	pthread_attr_destroy
LOAD:0000000000002AF5	00000006	C	fcntl
LOAD:0000000000002AFB	0000000A	C	inet_pton
LOAD:0000000000002B05	0000000C	C	getaddrinfo
LOAD:0000000000002B11	0000000D	C	freeaddrinfo
LOAD:0000000000002B1E	0000000A	C	utimensat
LOAD:0000000000002B28	0000001B	C	__system_property_find_nth
LOAD:0000000000002B43	00000017	C	__system_property_read
LOAD:0000000000002B5A	0000000B	C	strcasecmp
LOAD:0000000000002B65	0000000B	C	strcasestr
LOAD:0000000000002B70	00000014	C	__android_log_print
LOAD:0000000000002B84	00000007	C	memmem
LOAD:0000000000002B8B	00000007	C	strcpy
LOAD:0000000000002B92	00000008	C	strpbrk
LOAD:0000000000002B9A	0000000E	C	__strncpy_chk
LOAD:0000000000002BA8	00000008	C	strncmp
LOAD:0000000000002BB0	00000008	C	isspace
LOAD:0000000000002BB8	0000000F	C	posix_memalign
LOAD:0000000000002BC7	00000007	C	syslog
LOAD:0000000000002BCE	00000009	C	snprintf
LOAD:0000000000002BD7	0000000F	C	__strncpy_chk2
LOAD:0000000000002BE6	00000008	C	openlog
LOAD:0000000000002BEE	00000008	C	tolower
LOAD:0000000000002BF6	00000008	C	isalpha
LOAD:0000000000002BFE	0000000C	C	sched_yield
LOAD:0000000000002C0A	00000007	C	memchr
LOAD:0000000000002C11	00000014	C	pthread_getspecific
LOAD:0000000000002C25	00000016	C	pthread_rwlock_unlock
LOAD:0000000000002C3B	00000008	C	strxfrm
LOAD:0000000000002C43	00000011	C	__stack_chk_fail
LOAD:0000000000002C54	00000008	C	strcoll
LOAD:0000000000002C5C	00000009	C	vfprintf
LOAD:0000000000002C65	0000000D	C	__strcpy_chk
LOAD:0000000000002C72	00000008	C	isalnum
LOAD:0000000000002C7A	00000008	C	strtoul
LOAD:0000000000002C82	00000009	C	closelog
LOAD:0000000000002C8B	0000000E	C	__strncat_chk
LOAD:0000000000002C99	0000000A	C	getauxval
LOAD:0000000000002CA3	00000008	C	strrchr
LOAD:0000000000002CAB	00000017	C	pthread_cond_broadcast
LOAD:0000000000002CC2	00000007	C	strtok
LOAD:0000000000002CC9	00000016	C	pthread_rwlock_rdlock
LOAD:0000000000002CDF	00000013	C	pthread_key_delete
LOAD:0000000000002CF2	00000014	C	pthread_setspecific
LOAD:0000000000002D06	00000012	C	pthread_cond_wait
LOAD:0000000000002D18	00000006	C	llabs
LOAD:0000000000002D1E	0000000E	C	__memmove_chk
LOAD:0000000000002D2C	0000000A	C	vasprintf
LOAD:0000000000002D36	00000016	C	pthread_rwlock_wrlock
LOAD:0000000000002D4C	00000016	C	pthread_mutex_trylock
LOAD:0000000000002D62	0000001A	C	android_set_abort_message
LOAD:0000000000002D7C	00000013	C	pthread_key_create
LOAD:0000000000002D8F	00000007	C	strdup
LOAD:0000000000002D96	0000000C	C	__fgets_chk
LOAD:0000000000002DA2	0000000D	C	__strcat_chk
LOAD:0000000000002DAF	0000000A	C	__assert2
LOAD:0000000000002DB9	00000010	C	dl_iterate_phdr
LOAD:0000000000002DC9	0000000C	C	libanogs.so
LOAD:0000000000002DD9	00000008	C	libc.so
LOAD:0000000000002DE6	00000008	C	libm.so
LOAD:0000000000002DEE	00000009	C	libdl.so
LOAD:0000000000002DF7	0000000A	C	liblog.so
